Year;Month;Region;Mean Mesozooplankton abundance #m^3;mean CCS mm
1997;8;N GoA;125.2;2.28861727
1997;8;NE Oceanic Pacific;331.1794872;1.679947275
1997;8;PWS Shelf;106.1666667;0.955
2000;3;N GoA;135.3333333;3.870375
2000;3;NE Oceanic Pacific;108.6666667;2.898917846
2000;3;PWS Shelf;46.66666667;3.66464232
2000;4;N GoA;236.3958333;2.497218389
2000;4;NE Oceanic Pacific;250.3333333;2.100764008
2000;4;PWS Shelf;91.55555556;3.107513925
2000;5;NE Oceanic Pacific;195.1714286;3.192546798
2000;6;Aleutian shelf;425;1.660602361
2000;6;Bc shelf;106.3333333;1.2
2000;6;Bering Sea;264.6666667;2.91170981
2000;6;N GoA;77.77777778;1.957941101
2000;6;NE Oceanic Pacific;130.6969697;3.597617152
2000;6;WGoA;406.3333333;1.646096971
2000;7;Bering Sea;170;2.721310186
2000;7;N GoA;32.93333333;1.25
2000;7;NE Oceanic Pacific;32.25641026;5.205868007
2000;7;PWS Shelf;988.3333333;1.616781609
2000;8;N GoA;128.3333333;1.759744609
2000;8;NE Oceanic Pacific;91.8974359;2.939449676
2000;8;PWS Shelf;334.4666667;1.301518748
2001;4;N GoA;113.0666667;5.108218264
2001;4;NE Oceanic Pacific;121.9487179;4.192509634
2001;4;PWS Shelf;78.8;3.523374933
2001;5;N GoA;12.06666667;7.739727273
2001;5;NE Oceanic Pacific;96.82051282;5.075357232
2001;5;PWS Shelf;96.38888889;3.249188911
2001;6;Aleutian shelf;365.7333333;1.281462399
2001;6;Bc shelf;451.3333333;1.251451451
2001;6;Bering Sea;84.93939394;3.766848039
2001;6;N GoA;117.7666667;3.090137622
2001;6;NE Oceanic Pacific;98.49612403;4.472741561
2001;6;PWS Shelf;436.4761905;1.365869165
2001;6;WGoA;53.20833333;6.185787663
2001;8;NE Oceanic Pacific;18.44444444;5.434835934
2001;9;N GoA;160.0666667;1.865516804
2001;9;NE Oceanic Pacific;93.93589744;1.320762575
2001;9;PWS Shelf;140.8666667;1.201560272
2002;4;N GoA;293.6666667;3.167553614
2002;4;NE Oceanic Pacific;397.7435897;2.715710695
2002;4;PWS Shelf;246.9444444;2.400239537
2002;6;Aleutian shelf;346;2.540042456
2002;6;Bc shelf;814.1111111;1.653104097
2002;6;Bering Sea;149.7777778;3.516113977
2002;6;N GoA;60.33333333;3.237427329
2002;6;NE Oceanic Pacific;292.7054264;3.487807426
2002;6;WGoA;266.4285714;1.890716925
2002;7;N GoA;27.16666667;3.497222222
2002;7;NE Oceanic Pacific;48.63888889;2.739004771
2002;7;PWS Shelf;646.6666667;1.277363889
2002;10;Aleutian shelf;335.8888889;1.242780911
2002;10;Bc shelf;345;1.317796868
2002;10;Bering Sea;155.7777778;2.084240612
2002;10;N GoA;8.833333333;5.3
2002;10;NE Oceanic Pacific;127.9761905;2.0074495
2002;10;PWS Shelf;100.2777778;1.737869448
2002;10;WGoA;69.66666667;3.036330874
2002;11;NE Oceanic Pacific;254.0740741;1.782668407
2002;12;Aleutian shelf;25.66666667;3.206677019
2002;12;Bering Sea;37.44444444;3.726422218
2002;12;N GoA;115.1666667;1.319117647
2002;12;NE Oceanic Pacific;83.18181818;2.228012012
2002;12;WGoA;8.666666667;4.358492063
2003;1;N GoA;12.53333333;3.1
2003;1;NE Oceanic Pacific;38.66666667;2.518260064
2003;3;N GoA;69.46666667;3.495297332
2003;3;NE Oceanic Pacific;28.14285714;3.739930924
2003;4;Aleutian shelf;118.4444444;3.180415534
2003;4;Bc shelf;101.6666667;1.331683168
2003;4;Bering Sea;121.6969697;3.741627499
2003;4;NE Oceanic Pacific;97.85185185;3.203331119
2003;4;WGoA;33.5;4.234204738
2003;5;N GoA;56.58333333;1.940085645
2003;5;NE Oceanic Pacific;120.8717949;4.1139466
2003;5;PWS Shelf;109.5;4.058477127
2003;6;Aleutian shelf;199.1666667;2.113689083
2003;6;Bc shelf;312;1.3625
2003;6;Bering Sea;223.9444444;2.329521774
2003;6;N GoA;87.06666667;2.650724553
2003;6;NE Oceanic Pacific;130.6666667;3.714976752
2003;6;WGoA;68;6.522043011
2003;8;N GoA;44.73333333;1.834360346
2003;8;NE Oceanic Pacific;112.9444444;2.654254094
2003;8;PWS Shelf;21;2.748333333
2003;9;Bc shelf;564.5;1.224849515
2003;9;N GoA;46.33333333;1.728306061
2003;9;NE Oceanic Pacific;143.2063492;1.83865357
2003;10;Aleutian shelf;687.5;1.610317632
2003;10;Bering Sea;338.6;1.69294272
2003;10;NE Oceanic Pacific;68.52380952;2.802080539
2003;10;WGoA;188.3333333;1.990834686
2004;3;Alaskan Shelf;13.23333333;3.655140335
2004;3;Bc shelf;135.4666667;1.990940247
2004;3;Cook Inlet;8.791666667;3.333571429
2004;3;N GoA;50.55555556;2.262665206
2004;3;NE Oceanic Pacific;44.05128205;3.131251607
2004;4;Alaskan Shelf;137.962963;3.545042779
2004;4;Aleutian shelf;19.38888889;5.058579466
2004;4;Bc shelf;54.9047619;3.150016083
2004;4;Bering Sea;35.41666667;4.621387836
2004;4;Cook Inlet;108.625;2.553555812
2004;4;N GoA;144.4166667;1.781544295
2004;4;NE Oceanic Pacific;183.1354167;3.891959807
2004;4;WGoA;16.57142857;7.156
2004;5;Bc shelf;566.5833333;1.868621053
2004;5;NE Oceanic Pacific;127.0333333;3.939157627
2004;6;Alaskan Shelf;9.666666667;3.000949807
2004;6;Aleutian shelf;257.3888889;2.566531439
2004;6;Bc shelf;94.38095238;2.120910263
2004;6;Bering Sea;156.0833333;3.496720158
2004;6;Cook Inlet;38.51851852;1.977979695
2004;6;N GoA;28.44444444;3.390242669
2004;6;NE Oceanic Pacific;60.52688172;4.138250077
2004;6;WGoA;64.42857143;4.332217072
2004;7;Alaskan Shelf;122.3333333;1.877633634
2004;7;Bc shelf;108.4;1.362136752
2004;7;Cook Inlet;178.4166667;1.982516923
2004;7;N GoA;49.83333333;5.943006849
2004;7;NE Oceanic Pacific;54.17948718;1.923203046
2004;8;Alaskan Shelf;98.16666667;2.060534159
2004;8;Bc shelf;206.8;1.400012438
2004;8;Cook Inlet;190.7;1.543648964
2004;8;N GoA;111.6666667;2.447378222
2004;8;NE Oceanic Pacific;121.8974359;2.307450523
2004;10;Bc shelf;390.5;1.373954373
2004;10;Bering Sea;115.8;2.490592695
2004;10;NE Oceanic Pacific;113.5882353;1.466970994
2004;10;WGoA;32.66666667;1.2
2005;3;Bc shelf;44.73333333;2.838507733
2005;3;N GoA;63.25;2.648236898
2005;3;NE Oceanic Pacific;63.97222222;2.675731098
2005;4;Alaskan Shelf;418.969697;2.965639694
2005;4;Aleutian shelf;41.27777778;3.758301054
2005;4;Bc shelf;308.7666667;2.027545867
2005;4;Bering Sea;42.47619048;4.693737028
2005;4;Cook Inlet;417.8;1.711582384
2005;4;N GoA;96.33333333;4.394442842
2005;4;NE Oceanic Pacific;142.5111111;3.151766418
2005;4;WGoA;20.66666667;4.5
2005;5;Alaskan Shelf;681.0909091;2.095552126
2005;5;Bc shelf;433.952381;1.357607513
2005;5;Cook Inlet;259.4848485;2.67190117
2005;5;N GoA;54.75;4.207564453
2005;5;NE Oceanic Pacific;121.0666667;4.280235472
2005;6;Aleutian shelf;380.8571429;3.504509721
2005;6;Bc shelf;29.8;1.280508475
2005;6;Bering Sea;316.8484848;2.809439588
2005;6;NE Oceanic Pacific;73.86666667;1.438580765
2005;6;WGoA;183;4.660260334
2005;7;Alaskan Shelf;435.7;1.822467537
2005;7;Cook Inlet;209.6296296;1.725502437
2005;7;N GoA;48.22222222;2.555442224
2005;7;NE Oceanic Pacific;126.4074074;1.627640098
2005;8;Alaskan Shelf;351.4242424;2.379780344
2005;8;Bc shelf;640.7222222;1.384347708
2005;8;Cook Inlet;412.7407407;1.550913247
2005;8;N GoA;256.6666667;1.735913384
2005;8;NE Oceanic Pacific;207.6153846;1.675919477
2005;9;Aleutian shelf;379.3888889;1.46150141
2005;9;Bc shelf;265.0666667;2.105850196
2005;9;Bering Sea;226.4242424;2.239456416
2005;9;N GoA;451.6666667;2.04553404
2005;9;NE Oceanic Pacific;316.3333333;1.296783853
